rehearsal_event_id,rehearsal_session_id,guard_event_id,source_cluster_id,family_event_id,decision_bar_time,broker_day,symbol,direction,guard_decision,guard_block_reason,rehearsal_event_type,rehearsal_action,synthetic_net_r,running_rehearsal_equity_r,running_rehearsal_drawdown_r,daily_lock_active_after_event,portfolio_lock_active_after_event,demo_authorized,can_start_real_demo,mt5_runtime_touched,broker_action_code_allowed,rehearsal_notes
PH3REHEARSAL00011,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00010,WS010,FAM00005,2026.05.22 14:05:00,2026.05.22,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00012,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00011,WS011,FAM00006,2026.05.25 05:50:00,2026.05.25,XAUUSD,SHORT,GUARDED_SYNTHETIC_OPEN,,REHEARSAL_SHADOW_OPEN,record_shadow_intent_without_broker_side_effect,0.0000,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal records an intent only; no broker-side effect is allowed.
PH3REHEARSAL00013,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00011,WS011,FAM00006,2026.05.25 05:50:00,2026.05.25,XAUUSD,SHORT,GUARDED_SYNTHETIC_OPEN,,REHEARSAL_SHADOW_CLOSE,record_shadow_close_synthetic_stop_hit,-1.1838,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal closes the synthetic lifecycle record only.
PH3REHEARSAL00014,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00012,WS012,FAM00006,2026.05.25 05:50:00,2026.05.25,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00015,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00013,WS013,FAM00007,2026.05.25 07:40:00,2026.05.25,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00016,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00014,WS014,FAM00007,2026.05.25 07:40:00,2026.05.25,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00017,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00015,WS015,FAM00008,2026.05.25 12:50:00,2026.05.25,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00018,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00016,WS016,FAM00008,2026.05.25 12:50:00,2026.05.25,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00019,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00017,WS017,FAM00009,2026.05.25 13:20:00,2026.05.25,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00020,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00018,WS018,FAM00009,2026.05.25 13:20:00,2026.05.25,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00021,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00019,WS019,FAM00010,2026.05.25 15:05:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00022,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00020,WS020,FAM00010,2026.05.25 15:05:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00023,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00021,WS021,FAM00011,2026.05.25 15:15:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00024,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00022,WS022,FAM00011,2026.05.25 15:15:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00025,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00023,WS023,FAM00012,2026.05.25 16:45:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00026,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00024,WS024,FAM00012,2026.05.25 16:45:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00027,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00025,WS025,FAM00013,2026.05.25 16:50:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00028,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00026,WS026,FAM00013,2026.05.25 16:50:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00029,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00027,WS027,FAM00014,2026.05.25 22:20:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00030,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00028,WS028,FAM00014,2026.05.25 22:20:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00031,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00029,WS029,FAM00015,2026.05.25 22:45:00,2026.05.25,XAUUSD,LONG,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00032,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00030,WS030,FAM00015,2026.05.25 22:45:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00033,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00031,WS031,FAM00016,2026.05.26 00:55:00,2026.05.26,XAUUSD,SHORT,GUARDED_SYNTHETIC_OPEN,,REHEARSAL_SHADOW_OPEN,record_shadow_intent_without_broker_side_effect,0.0000,-2.4367,-2.4367,false,false,false,false,false,false,Rehearsal records an intent only; no broker-side effect is allowed.
PH3REHEARSAL00034,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00031,WS031,FAM00016,2026.05.26 00:55:00,2026.05.26,XAUUSD,SHORT,GUARDED_SYNTHETIC_OPEN,,REHEARSAL_SHADOW_CLOSE,record_shadow_close_synthetic_stop_hit,-1.1436,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal closes the synthetic lifecycle record only.
PH3REHEARSAL00035,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00032,WS032,FAM00017,2026.05.26 05:50:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00036,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00033,WS033,FAM00017,2026.05.26 05:50:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00037,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00034,WS034,FAM00018,2026.05.26 07:40:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00038,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00035,WS035,FAM00018,2026.05.26 07:40:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00039,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00036,WS036,FAM00019,2026.05.26 08:30:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00040,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00037,WS037,FAM00019,2026.05.26 08:30:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00041,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00038,WS038,FAM00020,2026.05.26 12:00:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00042,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00039,WS039,FAM00020,2026.05.26 12:00:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00043,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00040,WS040,FAM00021,2026.05.26 12:15:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00044,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00041,WS041,FAM00021,2026.05.26 12:15:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00045,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00042,WS042,FAM00022,2026.05.26 12:30:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00046,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00043,WS043,FAM00022,2026.05.26 12:30:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00047,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00044,WS044,FAM00023,2026.05.26 13:20:00,2026.05.26,XAUUSD,LONG,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00048,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00045,WS045,FAM00023,2026.05.26 13:20:00,2026.05.26,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00049,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00046,WS046,FAM00024,2026.05.26 14:15:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00050,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00047,WS047,FAM00024,2026.05.26 14:15:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00051,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00048,WS048,FAM00025,2026.05.26 14:30:00,2026.05.26,XAUUSD,LONG,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00052,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00049,WS049,FAM00025,2026.05.26 14:30:00,2026.05.26,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00053,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00050,WS050,FAM00026,2026.05.26 15:00:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00054,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00051,WS051,FAM00026,2026.05.26 15:00:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00055,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00052,WS052,FAM00027,2026.05.26 15:05:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00056,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00053,WS053,FAM00027,2026.05.26 15:05:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00057,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00054,WS054,FAM00028,2026.05.26 15:35:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00058,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00055,WS055,FAM00028,2026.05.26 15:35:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00059,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00056,WS056,FAM00029,2026.05.26 16:05:00,2026.05.26,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00060,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00057,WS057,FAM00029,2026.05.26 16:05:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00061,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00058,WS058,FAM00030,2026.05.26 16:10:00,2026.05.26,XAUUSD,SHORT,BLOCKED_COST_R,proxy_cost_r_at_or_above_0_30,REHEARSAL_BLOCKED_COST,record_cost_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for cost control: proxy_cost_r_at_or_above_0_30.
PH3REHEARSAL00062,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00059,WS059,FAM00030,2026.05.26 16:10:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00063,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00060,WS060,FAM00031,2026.05.26 16:50:00,2026.05.26,XAUUSD,SHORT,BLOCKED_COST_WATCH,cost_watch_requires_review_before_exposure,REHEARSAL_BLOCKED_COST,record_cost_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for cost control: cost_watch_requires_review_before_exposure.
PH3REHEARSAL00064,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00061,WS061,FAM00031,2026.05.26 16:50:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00065,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00062,WS064,FAM00032,2026.05.26 22:20:00,2026.05.26,XAUUSD,LONG,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-3.5803,-3.5803,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
